districtid,wave1_weekid,wave2_weekid,wave1_monthid,wave2_monthid
MP_Betul,39,105,3,11
MP_Bhind,38,101,1,11
MP_Bhopal,39,104,3,11
MP_Burhanpur,6,102,0,11
MP_Chhatarpur,34,99,3,11
MP_Chhindwara,39,100,3,11
MP_Damoh,34,102,3,11
MP_Datia,29,99,2,11
MP_Dewas,39,105,3,11
MP_Dhar,39,105,3,11
MP_Dindori,37,103,3,11
MP_Guna,37,99,3,11
MP_Gwalior,39,103,3,11
MP_Harda,39,102,3,11
MP_Hoshangabad,39,104,3,11
MP_Indore,39,105,3,11
MP_Jabalpur,39,103,3,11
MP_Jhabua,37,101,3,11
MP_Katni,39,100,3,11
MP_Khandwa,39,99,3,11
MP_Khargone,39,103,3,11
MP_Mandla,37,99,3,11
MP_Mandsaur,38,106,3,11
MP_Morena,23,103,1,11
MP_Narsinghpur,32,99,3,11
MP_Neemuch,38,101,3,11
MP_Niwari,32,104,3,11
MP_Other Region,-1,109,2,13
MP_Panna,39,103,3,11
MP_Raisen,39,103,3,11
MP_Rajgarh,26,100,2,11
MP_Ratlam,39,107,3,11
MP_Rewa,39,104,3,11
MP_Sagar,39,104,3,11
MP_Satna,39,103,3,11
MP_Sehore,36,100,3,11
MP_Seoni,37,99,3,11
MP_Shahdol,39,103,3,11
MP_Shajapur,39,101,3,11
MP_Sheopur,39,105,3,11
MP_Shivpuri,39,107,3,11
MP_Sidhi,38,102,3,11
MP_Singrauli,38,99,3,11
MP_Tikamgarh,23,104,3,11
MP_Ujjain,39,107,3,11
MP_Umaria,36,100,3,11
MP_Vidisha,36,103,3,11
MH_Ahmednagar,38,106,3,11
MH_Akola,39,110,3,11
MH_Amravati,39,110,3,11
MH_Aurangabad,39,104,3,11
MH_Beed,33,106,3,11
MH_Bhandara,39,100,3,11
MH_Buldhana,39,107,3,11
MH_Chandrapur,39,103,3,11
MH_Dhule,37,99,3,11
MH_Gadchiroli,39,99,3,11
MH_Gondia,38,102,3,11
MH_Hingoli,38,101,3,11
MH_Jalgaon,39,99,3,11
MH_Jalna,38,104,3,11
MH_Kolhapur,38,113,3,12
MH_Latur,38,101,3,11
MH_Mumbai,39,99,3,11
MH_Nagpur,39,103,3,11
MH_Nanded,38,100,3,11
MH_Nandurbar,35,104,3,11
MH_Nashik,39,104,3,11
MH_Osmanabad,37,105,3,11
MH_Other State,39,99,3,11
MH_Palghar,39,103,3,11
MH_Parbhani,38,105,3,11
MH_Pune,39,102,3,11
MH_Raigad,39,103,3,11
MH_Ratnagiri,39,109,3,11
MH_Sangli,39,107,3,11
MH_Satara,39,106,3,11
MH_Sindhudurg,38,116,3,12
MH_Solapur,39,110,3,11
MH_Thane,22,99,3,11
MH_Wardha,38,99,3,11
MH_Washim,39,107,3,11
MH_Yavatmal,39,104,3,11
MN_Churachandpur,-1,99,0,11
ML_East Garo Hills,12,99,2,11
ML_East Jaintia Hills,21,112,2,11
ML_East Khasi Hills,39,111,3,12
ML_North Garo Hills,34,113,3,12
ML_Ribhoi,33,99,3,11
ML_South Garo Hills,37,101,2,11
ML_South West Garo Hills,35,102,3,11
ML_South West Khasi Hills,16,100,1,11
ML_West Garo Hills,24,121,2,13
ML_West Jaintia Hills,37,119,3,11
ML_West Khasi Hills,23,122,2,13
MZ_Aizawl,39,120,3,14
MZ_Champhai,-1,121,3,13
MZ_Hnahthial,22,106,2,11
MZ_Khawzawl,39,106,0,11
MZ_Kolasib,19,120,2,13
MZ_Lawngtlai,33,113,3,13
MZ_Lunglei,34,118,3,13
MZ_Mamit,4,123,3,13
MZ_Saiha,6,120,0,13
MZ_Saitual,29,119,2,11
MZ_Serchhip,31,100,3,11
NL_Dimapur,21,101,1,11
NL_Kiphire,27,104,2,11
NL_Kohima,24,103,2,11
NL_Longleng,26,111,2,12
NL_Mokokchung,32,109,3,11
NL_Mon,22,104,1,11
NL_Others,4,109,0,13
NL_Peren,12,115,0,13
NL_Phek,20,105,0,11
NL_Tuensang,38,107,3,11
NL_Wokha,20,107,1,11
NL_Zunheboto,15,99,1,11
OR_Angul,39,108,3,12
OR_Balangir,37,108,3,11
OR_Balasore,32,111,3,12
OR_Bargarh,28,99,2,11
OR_Bhadrak,37,110,3,12
OR_Boudh,38,108,3,12
OR_Cuttack,35,111,3,12
OR_Deogarh,38,108,3,12
OR_Dhenkanal,39,114,3,12
OR_Gajapati,21,100,1,11
OR_Ganjam,23,107,2,11
OR_Jagatsinghpur,39,112,3,12
OR_Jajpur,38,115,3,12
OR_Jharsuguda,37,104,3,11
OR_Kalahandi,39,107,3,11
OR_Kandhamal,36,106,3,11
OR_Kendrapara,39,115,3,12
OR_Kendujhar,36,108,3,11
OR_Khordha,37,109,3,11
OR_Koraput,33,110,3,12
OR_Malkangiri,28,108,2,11
OR_Mayurbhanj,33,108,3,12
OR_Nabarangapur,32,99,3,11
OR_Nayagarh,30,107,3,12
OR_Nuapada,38,99,3,11
OR_Others,0,109,0,13
OR_Puri,39,112,3,12
OR_Rayagada,29,105,2,11
OR_Sambalpur,36,104,3,11
OR_State Pool,2,109,0,13
OR_Subarnapur,29,101,3,11
OR_Sundargarh,31,108,3,11
PY_Karaikal,38,107,3,12
PY_Mahe,38,105,3,11
PY_Puducherry,35,109,3,11
PY_Yanam,20,99,1,11
PB_Amritsar,39,107,3,11
PB_Barnala,36,110,3,11
PB_Bathinda,37,107,3,11
PB_Faridkot,38,108,3,11
PB_Fatehgarh Sahib,33,110,3,11
PB_Fazilka,39,106,3,11
PB_Ferozepur,32,110,3,11
PB_Gurdaspur,39,107,3,11
PB_Hoshiarpur,39,108,3,11
PB_Jalandhar,39,107,3,11
PB_Kapurthala,39,108,3,11
PB_Ludhiana,33,108,3,11
PB_Mansa,39,108,3,11
PB_Moga,33,107,3,11
PB_Pathankot,38,107,3,11
PB_Patiala,39,107,3,11
PB_Rupnagar,39,108,3,11
PB_S.A.S. Nagar,39,108,3,11
PB_Sangrur,33,107,3,11
PB_Shahid Bhagat Singh Nagar,39,107,3,11
PB_Sri Muktsar Sahib,39,110,3,11
PB_Tarn Taran,38,102,3,11
RJ_Ajmer,32,104,3,11
RJ_Alwar,26,104,2,11
RJ_BSF Camp,-1,99,2,11
RJ_Banswara,38,104,3,11
RJ_Baran,36,105,3,11
RJ_Barmer,24,108,2,11
RJ_Bharatpur,11,109,2,11
RJ_Bhilwara,34,103,3,11
RJ_Bikaner,32,106,3,11
RJ_Bundi,29,99,2,11
RJ_Chittorgarh,38,107,3,11
RJ_Churu,36,107,3,11
RJ_Dausa,36,109,3,11
RJ_Dholpur,33,103,2,11
RJ_Dungarpur,6,108,3,11
RJ_Evacuees,-1,99,0,11
RJ_Ganganagar,38,101,3,11
RJ_Hanumangarh,39,106,3,11
RJ_Italians,-1,99,0,11
RJ_Jaipur,39,108,3,11
RJ_Jaisalmer,36,109,3,11
RJ_Jalore,39,102,2,11
RJ_Jhalawar,36,106,3,11
RJ_Jhunjhunu,33,109,3,11
RJ_Jodhpur,39,107,3,11
RJ_Karauli,25,107,2,11
RJ_Kota,38,102,3,11
RJ_Nagaur,39,109,3,11
RJ_Other State,13,99,1,11
RJ_Pali,24,105,2,11
RJ_Pratapgarh,19,104,3,11
RJ_Rajsamand,39,105,3,11
RJ_Sawai Madhopur,38,104,3,11
RJ_Sikar,31,105,3,11
RJ_Sirohi,39,100,3,11
RJ_Tonk,37,105,3,11
RJ_Udaipur,29,106,3,11
TN_Airport Quarantine,12,124,1,11
TN_Ariyalur,31,112,3,12
TN_Chengalpattu,26,108,2,11
TN_Chennai,18,108,1,11
TN_Coimbatore,37,113,3,12
TN_Cuddalore,37,111,3,12
TN_Dharmapuri,39,112,3,12
TN_Dindigul,30,112,2,12
TN_Erode,35,114,3,12
TN_Kallakurichi,26,113,3,12
TN_Kancheepuram,27,110,2,12
TN_Kanyakumari,26,112,2,12
TN_Karur,38,114,3,12
TN_Krishnagiri,36,108,3,12
TN_Madurai,22,112,1,12
TN_Mayiladuthurai,0,109,0,13
TN_Nagapattinam,38,113,3,12
TN_Namakkal,39,114,3,12
TN_Nilgiris,39,115,3,12
TN_Other State,2,99,0,11
TN_Perambalur,30,112,3,12
TN_Pudukkottai,32,111,3,12
TN_Railway Quarantine,3,99,0,11
TN_Ramanathapuram,19,111,2,12
TN_Ranipet,26,111,2,12
TN_Salem,36,114,3,12
TN_Sivaganga,23,113,2,12
TN_Tenkasi,30,112,2,12
TN_Thanjavur,26,112,2,12
TN_Theni,30,111,2,12
TN_Thiruvallur,32,110,2,12
TN_Thiruvarur,39,112,3,12
TN_Thoothukkudi,26,110,2,12
TN_Tiruchirappalli,25,112,2,12
TN_Tirunelveli,27,109,2,11
TN_Tirupathur,33,111,3,12
TN_Tiruppur,39,113,3,12
TN_Tiruvannamalai,38,112,2,12
TN_Vellore,34,108,2,11
TN_Viluppuram,36,113,3,12
TN_Virudhunagar,26,112,2,12
TR_Dhalai,36,112,3,13
TR_Gomati,39,114,3,13
TR_Khowai,31,110,2,11
TR_North Tripura,38,120,3,12
TR_Sipahijala,31,104,2,11
TR_South Tripura,35,104,3,11
TR_Unokoti,29,119,3,12
TR_West Tripura,30,104,2,11
UP_Agra,39,104,3,11
UP_Aligarh,39,107,3,11
UP_Ambedkar Nagar,34,104,3,11
UP_Amethi,36,100,3,11
UP_Amroha,36,106,3,11
UP_Auraiya,37,103,3,11
UP_Ayodhya,35,103,3,11
UP_Azamgarh,29,107,3,11
UP_Baghpat,20,106,3,11
UP_Bahraich,29,104,3,11
UP_Ballia,21,99,2,11
UP_Balrampur,34,103,3,11
UP_Banda,38,104,3,11
UP_Barabanki,38,104,3,11
UP_Bareilly,30,104,3,11
UP_Basti,31,104,2,11
UP_Bhadohi,26,103,2,11
UP_Bijnor,36,104,3,11
UP_Budaun,34,107,3,11
UP_Bulandshahr,39,108,3,11
UP_Chandauli,33,99,3,11
UP_Chitrakoot,38,104,3,11
UP_Deoria,32,105,3,11
UP_Etah,39,105,3,11
UP_Etawah,39,103,3,11
UP_Farrukhabad,39,99,3,11
UP_Fatehpur,37,99,3,11
UP_Firozabad,37,104,3,11
UP_Gautam Buddha Nagar,39,106,3,11
UP_Ghaziabad,39,106,3,11
UP_Ghazipur,32,104,2,11
UP_Gonda,33,103,3,11
UP_Gorakhpur,36,103,3,11
UP_Hamirpur,31,102,3,11
UP_Hapur,39,108,1,11
UP_Hardoi,38,105,3,11
UP_Hathras,36,107,3,11
UP_Jalaun,28,108,3,11
UP_Jaunpur,27,103,2,11
UP_Jhansi,39,103,3,11
UP_Kannauj,26,104,2,11
UP_Kanpur Dehat,36,102,3,11
UP_Kanpur Nagar,39,104,3,11
UP_Kasganj,37,108,3,11
UP_Kaushambi,33,104,3,11
UP_Kushinagar,33,104,3,11
UP_Lakhimpur Kheri,35,104,3,11
UP_Lalitpur,32,102,3,11
UP_Lucknow,39,102,3,11
UP_Maharajganj,35,109,3,11
UP_Mahoba,36,104,3,11
UP_Mainpuri,39,104,3,11
UP_Mathura,39,105,3,11
UP_Mau,36,104,3,11
UP_Meerut,39,108,3,11
UP_Mirzapur,27,102,2,11
UP_Moradabad,35,106,3,11
UP_Muzaffarnagar,39,108,3,11
UP_Pilibhit,30,108,3,11
UP_Pratapgarh,39,106,3,11
UP_Prayagraj,39,102,3,11
UP_Rae Bareli,39,103,3,11
UP_Rampur,35,105,3,11
UP_Saharanpur,38,107,3,11
UP_Sambhal,23,106,3,11
UP_Sant Kabir Nagar,29,103,2,11
UP_Shahjahanpur,38,104,3,11
UP_Shamli,38,108,3,11
UP_Shrawasti,32,104,3,11
UP_Siddharthnagar,29,105,2,11
UP_Sitapur,38,103,3,11
UP_Sonbhadra,34,100,3,11
UP_Sultanpur,31,103,2,11
UP_Unnao,39,105,3,11
UP_Varanasi,29,103,3,11
UT_Almora,36,110,3,11
UT_Bageshwar,34,100,3,11
UT_Chamoli,34,103,3,11
UT_Champawat,37,100,3,11
UT_Dehradun,39,107,3,11
UT_Haridwar,39,104,3,11
UT_Nainital,39,108,3,11
UT_Pauri Garhwal,38,109,3,11
UT_Pithoragarh,33,100,3,11
UT_Rudraprayag,31,102,3,11
UT_Tehri Garhwal,38,102,2,11
UT_Udham Singh Nagar,39,107,3,11
UT_Uttarkashi,37,105,3,11
WB_Alipurduar,26,103,2,11
WB_Bankura,34,103,2,11
WB_Birbhum,33,106,3,11
WB_Cooch Behar,26,102,2,11
WB_Dakshin Dinajpur,26,102,2,11
WB_Darjeeling,33,111,3,12
WB_Hooghly,39,111,3,11
WB_Howrah,25,109,2,11
WB_Jalpaiguri,36,112,3,12
WB_Jhargram,39,107,3,12
WB_Kalimpong,31,112,3,12
WB_Kolkata,28,108,2,11
WB_Malda,29,102,2,11
WB_Murshidabad,33,104,3,11
WB_Nadia,39,111,3,12
WB_North 24 Parganas,33,110,3,11
WB_Other State,7,99,0,11
WB_Paschim Bardhaman,39,108,3,11
WB_Paschim Medinipur,38,107,3,12
WB_Purba Bardhaman,38,108,3,11
WB_Purba Medinipur,38,109,3,12
WB_Purulia,32,99,3,11
WB_South 24 Parganas,30,111,3,11
WB_Uttar Dinajpur,28,103,3,11
